Username;FirstName;LastName;Email;Phone;About;CurrencyID;HostID
jamsmi23;James;Smith;James.Smith@outlook.eu;+462080465508;We are a small budget lodging for students and traveleres. We offer from daily to monthly rates for a reasonable price.;5;1
johwil24;John;Williams;John.Williams@outlook.eu;+449406701089;;1;
robjoh43;Robert;Johnson;Robert.Johnson@gmail.net;+464381626638;I always keep in touch with my guests, you can easily reach out to me via airbnb. I will answer in a few minutes! And if it necessary i can come to the apartment.;1;3
micbro13;Michael;Brown;Michael.Brown@yahoo.net;+416147368059;;2;
wiljon28;William;Jones;William.Jones@outlook.net;+412670827363;Hey guys, I work in publishing and books and art are my passionate interest, therefore if you have any questions about current cultural events, please let me know. Best wishes, William;2;5
davmil41;David;Miller;David.Miller@yahoo.net;+498183286863;;3;
ricdav30;Richard;Davis;Richard.Davis@gmail.net;+423567582238;I'm the property manager of Road House Apartments and welcome people from around the globe to enjoy their stay at its finest.;7;7
josgar26;Joseph;Garcia;Joseph.Garcia@hotmail.net;+434958224790;;4;
thorod48;Thomas;Rodriguez;Thomas.Rodriguez@hotmail.net;+459933200528;Easy-going human being who loves to interact with others. Smiling is my strength and friendliness is my duty. - 1€ per booking goes to building water wells (charity);3;9
chawil27;Charles;Wilson;Charles.Wilson@gmail.eu;+411777541737;;5;
marmar22;Mary;Martinez;Mary.Martinez@hotmail.eu;+478752305328;I like to travel myself and to explore new cities. Hope to give to my guests all what I myself expect when travelling. Will try my best to make your stay as comfortable as possible. See You!;5;11
patand16;Patricia;Anderson;Patricia.Anderson@hotmail.net;+457288421822;;6;
jentay18;Jennifer;Taylor;Jennifer.Taylor@yahoo.com;+437338136318;I will be glad to invite you:) I can answer any your questions about city and apartment;8;13
linmoo16;Linda;Moore;Linda.Moore@yahoo.eu;+495215017044;;7;
elitho25;Elizabeth;Thompson;Elizabeth.Thompson@gmail.net;+485546319574;Dear guests, I want your stay to be an amazing experience so if there's anything you need, feel free to ask.;9;15
barlee29;Barbara;Lee;Barbara.Lee@yahoo.net;+453773648177;;8;
sushar33;Susan;Harris;Susan.Harris@gmail.com;+419624751768;I'm a little bit awkward but I hope I can give u a good hospitality!.... is that the way people say it?;4;17
jesrob2;Jessica;Robinson;Jessica.Robinson@hotmail.eu;+414796861462;;9;
sarhal41;Sarah;Hall;Sarah.Hall@outlook.com;+422352318196;Please feel free to text or call if you have any questions or requests. I also speak Russian, French, Italian, Bulgarian, a bit of Spanish and German. I am committed to providing a comfortable stay.;6;19
karwal31;Karen;Walker;Karen.Walker@outlook.com;+426338448897;;1;
